"course_number","Depth","pct_of_normal_Depth","SWE","pct_of_normal_SWE","density","pct_of_normal_density"
129,81.5,122.160485850885,24.5,117.1186021594,30.0613496932515,98.3819663169847
129,69.5,81.7116678829157,28,97.1640540863946,40.2877697841727,119.691997523985
131,104.5,119.575906027069,35,110.344827586207,33.4928229665072,95.4456276006375
131,95.5,86.4775128282523,42.5,97.9477611940299,44.5026178010471,116.102723672373
132,83.5,126.138884954917,27,120.577768473938,32.3353293413174,97.6960895295635
132,67,80.5238828967642,31.5,103.174603174603,47.0149253731343,127.80182828912
134,59.5,139.163637388339,22.5,150.957885377092,37.8151260504202,111.676287464458
134,47,82.1289805316284,22.5,108.479863868406,47.8723404255319,132.517000543401
138,91.5,132.496130224197,30,124.534783853421,32.7868852459016,97.1863151319015
138,75.5,88.3654036897441,34.5,107.154137713203,45.6953642384106,122.68353669839
139,60.5,145.958986731001,18,138.461538461538,29.7520661157025,98.3959328782091
139,47.5,90.1208268148986,19.5,106.383996937213,41.0526315789474,115.030731407308
140,66.5,142.574681976273,19.5,129.310344827586,29.3233082706767,90.6743997920093
140,51.5,90.2815821189876,20.5,99.1635594074373,39.8058252427184,109.91665761735
142,72,140.386571719227,25,146.708623915632,34.7222222222222,107.697032135066
142,62.5,94.4402471001289,27.5,114.992005903333,44,123.337638486376
143,53.5,132.393614440293,17.5,140.197926484449,32.7102803738318,108.753137526714
143,45,88.7441860465116,18,103.684382132377,40,118.859752215246
145,57,136.273355892305,20.5,154.135338345865,35.9649122807018,112.258115052329
145,46,90.2941354110044,20,112.214069917997,43.4782608695652,123.800178589311
152,61,123.045890065557,19,118.098000621568,31.1475409836066,101.70396837168
152,55.5,87.8164556962025,20.5,93.7233630375823,36.9369369369369,107.452084836418
323,104.5,135.335302926059,36.5,129.089301503095,34.9282296650718,99.4523345234318
323,99.5,102.00395420928,41,109.961685823755,41.2060301507538,109.976011202408
344,91,131.830169755953,29.5,132.714269235206,32.4175824175824,104.26021461024
344,81,96.5837953854409,33.5,111.89044756179,41.358024691358,117.76452580436
345,72,122.963741460851,23.5,123.284907183212,32.6388888888889,103.903738385763
345,71,100.81188335093,26,102.996444895886,36.6197183098592,104.084522184724
384,104,139.32898415657,35.5,131.417994527603,34.1346153846154,98.6444758383678
384,87,89.5362104839251,36.5,98.043795620438,41.9540229885057,110.508041112913
